doi,title,authors,editors,year,publication_date,journal_name,publisher,work_type,language,is_open_access,abstract,subjects,source_url,citation_count,relation,source_db,relevance_score
10.1215/00104124-3462621,The Intimate Blanchot,Joseph D. Kuzma,,2016,2016-03-01,Comparative Literature,Duke University Press,article,en,False,"In this article I explore the status of intimate relationality in Maurice Blanchot's fictional writings and critical essays of the 1940s and 1950s. Focusing primarily on his 1951 text When the Time Comes, I show that intimacy in Blanchot's writings is an impersonal covenant established at the extreme limit of separation. Rather than thinking of intimacy and distance in a traditional manner, as fundamentally at odds with one another, Blanchot insists that the most profound intimacy occurs only when separation has been experienced, and affirmed, in its most radical form.",Computer science | Covenant | Epistemology | Limit (mathematics) | Logistic regression | Machine learning | Mathematical analysis | Mathematics | Odds | Philosophy | Psychoanalysis | Psychology | Sociology | Theology,https://openalex.org/W2305234268,1.0,,"Crossref, OpenAlex",12
10.1215/00267929-2827560,"The Impossible Experience of Words: Blanchot, Beckett, and the Materiality of Language",Gerald L. Bruns,,2015,2015-01-30,Modern Language Quarterly,Duke University Press,article,en,False,"This essay attempts to situate Samuel Beckett’s fiction in the Parisian intellectual and literary milieu of Maurice Blanchot, particularly with respect to the experience of the materiality of language and the double bind of writing in which—as Blanchot wrote in Faux pas (1943)—“the writer finds himself in the increasingly ludicrous condition of having nothing to write, of having no means with which to write it, and of being constrained by the utter necessity of always writing it.” One way of coping with this impasse was to take recourse to the fragment, in which words are not composed but juxtaposed, as in Blanchot’s L’attente, l’oubli (1962) and Beckett’s Worstward Ho (1983).",Aesthetics | Art | Epistemology | Linguistics | Literature | Materiality (auditing) | Nothing | Philosophy | Reflexive pronoun,https://openalex.org/W2326303904,6.0,,"Crossref, OpenAlex",12
10.3366/para.2022.0394,"B Effects: Bonds of Form and Time in Barthes, Blanchot and Beckett",Laurent Milesi,,2022,2022-07-01,Paragraph,Edinburgh University Press,article,en,False,"Starting from Nicholas Zurbrugg’s dismissal of the negative ‘B-Effect’ in postmodernism, which he associates with ‘Benjamin, Brecht, Beckett, Barthes, Baudrillard, and Bourdieu’, this essay examines the common rationale behind convergent affirmations of a neutrality or minimalism, often mistaken for nihilism, at key junctures in the works of Samuel Beckett and Roland Barthes, adding Maurice Blanchot as a critical link. The argument unfolds along a double axis: it first considers the formal role of ‘chatter’ or ‘idle speech’ and the fragment(ary in writing) in the three ‘B-writers’ before relating them to different constructions of temporality, such as the ‘future anterior’ and the après-coup, in their thematizations of ‘catastrophe’ and ‘disaster’ as indirect responses to personal or historical trauma and death. A brief concluding paragraph highlights how time’s suspensiveness leads to different forms of waiting across Barthes, Blanchot and Beckett.",Argument (complex analysis) | Art | Biochemistry | Chemistry | Epistemology | Literature | Mathematics | Minimalism (technical communication) | Neutrality | Nothing | Philosophy | Postmodernism | Psychoanalysis | Psychology | Statistics | Temporality,https://openalex.org/W4284696626,3.0,,"Crossref, OpenAlex",12
10.1163/18757405-019001009,IMAGES MUST TRAVEL FURTHER: Bataille and Blanchot Read Beckett,Paul Sheehan,,2008,2008-08-01,Samuel Beckett Today / Aujourd’hui,,article,en,False,"Perhaps the most prescient of Beckett's early critics were the French writers Georges Bataille and Maurice Blanchot in their analyses of (respectively) and . In this paper I argue that the essence of the intellectual friendship that the two critics shared – one of the great tacit 'partnerships' of the last century, which has yet to be fully unravelled – can be discerned through their writings on Beckett. His novels are thus treated as a kind of 'border' across which their own ideas continue to emerge and evolve, which in turn has implications for the development of French theory.",Aesthetics | Art | Friendship | Literature | Philosophy | Social science | Sociology,https://openalex.org/W2341350275,2.0,,OpenAlex,12
10.1080/1369801042000238346,The mobility of thought: Reflections on Blanchot and Benjamin,Jessica Dubow,,2004,2004-06-01,Interventions,,article,en,False,"The figure of the secularized Jew speaks of the migrant’s tale, the exile’s story, as it confirms the fragile calculations of a modern consciousness. Separated from the ‘true life’ of the nation-state and caught up in a wider itinerary of unstable movement,Judaic theologyoffers a perspective denied by the Western philosophic tradition: namely, of identity cast outside the sedentary, of travel structured not by nostosbut byan originary condition of the open and incomplete.This essay considers the relation between spatial displacement and the dynamics of critical thought. It asks: how may life ‘beyond the city walls’ be seenless as the historical or sociological ‘fate’ of Judaic thought,than as the enabling presupposition of its critique? What is specificabout a Judaic traditionthat illuminatesthe shared ontology of geography, philosophy, and the mobile subject? In exploring these questions this essay stages a dialogue betweenMaurice Blanchot and Walter Benjamin. Looking specifically at Blanchot’s interpretation of an exilic desertand at Benjamin’sconception ofthe modern city,I argue that both recallcertain key themes in a Judaic theology which not only contest the spatial and temporal imperatives of Empire but which refer, more generally, to structures of critical thought itself.",Aesthetics | Algorithm | CONTEST | Computer science | Consciousness | Database | Epistemology | Identity (music) | Interpretation (philosophy) | Library science | Linguistics | Ontology | Philosophy | Presupposition | Relation (database) | Religious studies | Secularization | Sociology | State (computer science) | Subject (documents) | Theology,https://openalex.org/W1964713455,9.0,,OpenAlex,12
10.1080/14735784.2010.496594,Naming the Nothing: Nancy and Blanchot on Community,Ian James,,2010,2010-07-01,"Culture, theory and critique/Culture, theory & critique",,article,en,False,"Abstract This article examines the exchange between Jean‐Luc Nancy and Maurice Blanchot around the question of community. It argues that Nancy from the early 1980s onwards offers an understanding of community as an exposure to, or of, a nothing or empty space. This nothing or empty space can be understood as the space left vacant by the withdrawal of any transcendent principle which would underpin or guarantee various forms of political organization or historical becoming. Whether it be the absence of any divine principle which would legitimate monarchical or imperial authority, or the absence of any essence or goal for the human in history (e.g. the bonds of national community or communism), the ‘nothing’ of community is exposed in the wake of the withdrawal or retreat of political transcendence. Blanchot’s response to Nancy’s essay ‘La Communauté désœuvrée’, entitled La Communauté inavouable is critical of Nancy’s thinking on this subject but, this article argues, he is critical only insofar as he shares with Nancy the problem of thinking, naming, or exposing the ‘nothing’ of community. The difference of these two key French thinkers about this question reminds us that ethical and political stakes of thinking community in the absence of metaphysical ground are always a matter of thinking community as absence. It also remind us that this thinking of community occurs in the experience of the ‘community of writing.’",Communism | Computer science | Environmental ethics | Epistemology | Law | Library science | Linguistics | Metaphysics | Nothing | Philosophy | Political science | Politics | Sociology | Space (punctuation) | Subject (documents) | Transcendence (philosophy),https://openalex.org/W2012747107,14.0,,OpenAlex,12
10.5040/9798881811662,"Nancy, Blanchot",Leslie Hill,,2018,2018-01-01,Rowman & Littlefield International eBooks,,book,en,False,"<JATS1:p>The concept of community is one of the most frequently used and abused of recent philosophical or socio-political concepts. In the 1980s, faced with the imminent collapse of communism and the unchecked supremacy of free-market capitalism, the philosopher Jean-Luc Nancy (in The Inoperative Community) and the writer Maurice Blanchot (in The Unavowable Community) both thought it essential to rethink the fundamental basis of “community” as such. More recently, Nancy has renewed the debate by unexpectedly attacking Blanchot’s account of community, claiming that it embodies a dangerously nostalgic desire for mythic and religious communion.</JATS1:p> <JATS1:p>This book examines the history and implications of this controversy. It analyses in forensic detail Nancy’s and Blanchot’s contrasting interpretations of German Romanticism, and the work of Heidegger, Bataille, and Marguerite Duras, and examines closely their divergent approaches to the contradictory legacy of Christianity. At a time when politics are increasingly inseparable from a deep-seated sense of crisis, it provides an incisive account of what, in the concept of community, is thought yet crucially still remains unthought.</JATS1:p>",Philosophy,https://openalex.org/W4410663777,11.0,,OpenAlex,12
10.5007/2176-8552.2015n18p139,Blanchot e o canto das sereias: uma alegoria da literatura,Angelo de Oliveira,,2014,2014-06-17,Outra Travessia,,article,pt,False,"Estre trabalho realiza uma análise da literatura a partir da alegoria que Maurice Blanchot utiliza em seu O livro por vir: o canto das sereias. Em sua alegoria, o teórico retoma o episódio de Homero em que Ulisses ouve o canto dos seres sobrenaturais e sobrevive. Todo escritor, para Blanchot, repetiria o feito do personagem homérico, uma vez que, no ato de criação, ele seria movido por uma força que não compreende, uma força que move a literatura. Essa força recebe a denominação, dentre outras, de fala errante. Segundo Blanchot, essa fala duelaria com a razão e as normas que o escritor conhece. Desse embate nasce a literatura, como fruto de uma região fronteiriça, como algo que está sempre aquém e apontando sempre para além. Nesta alegoria, Blanchot reúne grande parte do pensamento que desenvolveria mais tarde em outras de suas obras, que também servem de base teórica a este escrito, tais como O espaço literário e A conversa infinita. Também é utilizado o famoso ensaio anterior a O livro por vir, “A literatura e o direito à morte”. Outros estudiosos são utilizados para reforçar o pensamento blanchotiano, tais como Barthes (2004, 2007) e Heidegger (s.d., 2008).",Art | Canto | Humanities | Literature | Philosophy,https://openalex.org/W2278356320,19.0,,OpenAlex,12
10.3366/drt.2024.0349,Gifts for No One or Anyone: Maurice Blanchot and Jacques Derrida on <i>Personne</i>,Michael Portal,,2024,,Derrida Today,Edinburgh University Press,journal-article,en,False,,,https://doi.org/10.3366/drt.2024.0349,0.0,,Crossref,12
10.1080/1479758032000135933,"The impossibility of loving: blanchot, community, sexual difference",Lars Iyer,,2003,2003-07-01,Journal for Cultural Research,,article,en,False,"This paper aims to clarify Blanchot's notion of community and his practice of communism through, first, an account of his involvement in the Events of May 1968 and, second, an exploration of The Unavowable Community, in which Blanchot reads a short novel by Marguerite Duras, which recounts the tropisms of a brief relationship between a young woman and a homosexual man. As I show, Blanchot's affirmation of what he calls “the impossibility of loving”, which emerges from his reading of Duras, is linked to what he calls “worklessness [désoeuvrement]”; that is, the active process of loosening or undoing that contests any attempt to establish a community around a shared essence. I will claim that it is by attending to the relationship to worklessness that one might attend to what Blanchot calls the “spaces of freedom” that open around us: to those happenings which are not enclosed by prevailing determinations of the social space. A further aim of this paper is to address the concerns of Jacques Derrida, for whom Blanchot's writings on community betray what he calls in Politics of Friendship a “schematic of filiation”, in which the relation to the brother is the privileged model for the relation to the Other. I also provide an account of Blanchot's negotiation of Levinas's account of the relationship between ethics and eros as it is presented in Totality and Infinity.",Computer science | Database | Epistemology | Friendship | Impossibility | Law | Linguistics | Negotiation | Philosophy | Political science | Politics | Psychoanalysis | Psychology | Reading (process) | Relation (database) | Social science | Sociology | Surrender | Undoing,https://openalex.org/W2027701993,4.0,,OpenAlex,11
10.5040/9781472542991,Blanchot and Literary Criticism,,,2011,2011-01-01,Continuum eBooks,,book,en,False,"Blanchot's writings on literature have imposed themselves in the canon of modern literary theory and yet have remained a mysterious presence. This is in part due to their almost hypnotic literary style, in part due to their distinctive amalgam of a number of philosophical sources (Hegel, Heidegger, Levinas, Bataille), which, although hardly unknown in the Anglophone philosophical world, have not yet made themselves fully at home in literary theory. This book aims to make visible the coherence of Blanchot's critical project. To recognize the challenge that Blanchot represents for literary criticism, one has to see that he always has in view the self-interrogation that characterizes modern literature, both in its theory and its practice. Blanchot's essays study the forms and the paths of this research, its solutions and its impasses; and increasingly, they sketch out the philosophical and historical horizon within which its significance appears. The effect is to revise",Art | Criticism | Epistemology | Hegelianism | Literary criticism | Literary science | Literary theory | Literature | Philosophy | Style (visual arts),https://openalex.org/W577850076,6.0,,OpenAlex,11
10.4000/books.pupo.929,Viens – Me voici. Derrida entre Blanchot et Levinas,Michel Lisse,,2008,,"Emmanuel Lévinas-Maurice Blanchot, penser la différence",Presses universitaires de Paris Nanterre,book-chapter,fr,False,,,https://doi.org/10.4000/books.pupo.929,0.0,,Crossref,11
10.3366/para.2007.30.3.141,"‘Not In Our Name’: Blanchot, Politics, the Neuter",Leslie Hill,,2007,2007-11-01,Paragraph,Edinburgh University Press,article,en,False,"Readers of Blanchot have long been aware of the importance of politics in the writer's intellectual itinerary. But though the history of Blanchot's political involvements is now quite well documented (albeit frequently misrepresented to polemical ends), much remains to be understood about Blanchot's conception of the political. Prompted in part by his support for the ‘Not In Our Name’ appeal, which was to be one of Blanchot's last political gestures, this essay fragment, which is part of a longer inquiry, reconstructs the writer's thinking on the question of the subject of politics and the closely related issue of the relationship between law and violence. It examines Blanchot's response to Hölderlin's translation of a famous fragment from Pindar entitled ‘Das Höchste’ (‘The Most High’) and places Blanchot's writing within the wider context of the political thought of Benjamin, Schmitt, Agamben, and Derrida.",Appeal | Archaeology | Art | Computer science | Context (archaeology) | Fragment (logic) | History | Law | Library science | Literature | Philosophy | Political science | Politics | Programming language | Subject (documents),https://openalex.org/W2101988054,4.0,,"Crossref, OpenAlex",11
10.1080/0969725x.2013.834668,"THE ETHICS OF COMMUNITY<i>nancy, blanchot, esposito</i>",Kristin Lené Hole,,2013,2013-09-01,Angelaki,,article,en,False,"AbstractThis paper analyzes the varying conceptions of ethics underpinning the accounts of community in Blanchot, Nancy, and Esposito. A focus on ethics brings into relief points of divergence amongst accounts of community that otherwise overlap and share in many significant ways. Furthermore, it provides a basis to better assess Esposito's contribution. I focus on the concepts of difference and transcendence and the figure of the lovers, a shared topos in Nancy and Blanchot, to demonstrate these subtle variations. In turning to Esposito, Kantian-inflected notions of duty, obligation, and law shape a community where others recede into the background and the lovers lose their visibility. I suggest that Esposito's focus on duty has consequences that give cause for further reflection. The law renders each of us other, but in its universality it risks losing a sense of the exceptional. Relying etymologically on the notion of duty as that which, following his reading of Kant, undermines the subject and renders possible the impossible community, grounds the Communitas in a law that risks congealing the meaning of community around this impossible obligation.KeywordsBlanchotcommunityEspositoethicsNancy NotesI am indebted to Greg Bird, Jonathan Short, Anne O'Byrne, Dijana Jelaca, and David J. Madden for their insightful comments on earlier drafts of this paper.1 Although Esposito himself does not conceive of his work as political philosophy, it is undoubtedly a philosophy that is deeply engaged with how the political is thought, be it in terms of an affirmative biopolitics or his concept of the impolitical as a response to militant politics in practice and theory. See, for example, Esposito, “Totalitarianism or Biopolitics?”2 For examples of this tendency see Barkan; Bosteels; Campbell, “Bios, Immunity, Life” and “‘Enough of a Self’”; Campbell and Luisetti; Deutscher; Levinson; Minervini; Neyrat; Oliva. Note that the lack of historical engagement with the idea of community is a fault that Bernasconi finds with Nancy's writing on community, namely that it doesn't offer an “historical account of the metaphysical conception of the community that would necessarily underlie any such deconstruction” (15). Esposito's text can be credited with attempting to provide such an historical account.3 See, for example, Elliott; Norris. See James, The Fragmentary Demand for a nuanced discussion of the relationship between philosophy and the political in Nancy.4 See again both Elliott and Norris for very recent examples of this tendency.5 See Gaon who also works in this direction.6 For other accounts of ethics in Blanchot and Nancy's writing on community see Bernasconi; Gaon. See Ingram for further comparison.7 See Bird on how Blanchot and Nancy variously approach the problem of immanentism.8 See Duras.9 See Levinas, Totality and Infinity.10 See, for example, Blanchot's The Instant of my Death; The Space of Literature; The Writing of the Disaster.11 On the Saying/Said see also Levinas, “Language and Proximity.”12 See also O'Byrne, “The Politics of Intrusion” and Natality and Finitude on Nancy and the body, intrusion, and natality.13 Although Nancy states in a footnote that this is an allusion to Lacan, the comment applies equally to Levinas in the context of his argument. See Raffoul on Nancy's critique of the Other in Lacan and Levinas.14 Nancy's concept of “transimmanence” addresses this problematic between transcendence and immanence.15 See Nancy, The Sense of the World and “The Insufficiency of ‘Values’ and the Necessity of ‘Sense.’” See also O'Byrne, Natality and Finitude.16 See also James, “On Interrupted Myth.”17 Compear is Nancy's term for the sharing present at the origin of each person. Rather than appearing, we co-appear or compear; the origin is always multiple. See also “La Comparution/The Compearance.”18 See “Touching” in The Sense of the World.19 See Bosteels; Esposito, “Totalitarianism or Biopolitics?”20 The most relevant texts here are Kant's Critique of Pure Reason; Religion within the Boundaries of Mere Reason; and Groundwork of the Metaphysics of Morals.21 See Bird, this issue, for a discussion of condivisione in Esposito's writing.22 See also O'Byrne, this issue. The lack of a sustained engagement with sexual difference in Communitas is closely linked to the disappearance of the lovers.23 See Esposito, “For a Philosophy of the Impersonal.”",Aesthetics | Communitas | Duty | Epistemology | Law | Liminality | Obligation | Philosophy | Political science | Politics | Sociology | Theology,https://openalex.org/W1985368613,7.0,,OpenAlex,11
10.1515/9781438469621-007,"4 On a Constellation (Levinas, Derrida, Blanchot, Readers of Celan)",,,2018,,The Vocation of Writing,SUNY Press,book-chapter,,False,,,https://doi.org/10.1515/9781438469621-007,0.0,,Crossref,11
10.3366/drt.2012.0031,"<i>L'Arrêt de mort</i>, Insomnia, Dreaming, Sleep: Derrida, Blanchot, Levinas",Simon Morgan Wortham,,2012,,Derrida Today,Edinburgh University Press,journal-article,en,False,,,https://doi.org/10.3366/drt.2012.0031,0.0,,Crossref,11
,Maurice Blanchot et la philosophie,Éric Hoppenot | Alain Milon,,2010,,,,OUV,,,,,,,,HAL,10
,Maurice Blanchot entre roman et récit,Éric Hoppenot | Alain Milon,,2013,,,,OUV,,,,,,,,HAL,10
,Défi de lecture : Thomas l'Obscur de Maurice Blanchot,Anca Călin | Alain Milon,,2017,,,,OUV,,,,,,,,HAL,10
,Leadership : the madness of the day by Maurice Blanchot,Hugo Letiche | Jean-Luc Moriceau,,2013,,,,COUV,,,,,,,,HAL,10
,یادداشت روزانه و داستان Maurice Blanchot: Le journal intime et le récit,شفیقه کیوان | Shafigheh Keivan,,2017,,,,TRAD,,,,,,,,HAL,10
,"L’inconditionnel et l’écriture du neutre, Edmond Jabès et Maurice Blanchot",Eric Bonnet,,2015,,,,COUV,,,,,,,,HAL,10
,La leçon du silence : littérature et relation sociale chez Maurice Blanchot,Luis Felipe Alarcón,,2019,,,,THESE,,,,,,,,HAL,10
,Cahier de l'Herne Maurice Blanchot,Jérôme de Gramont,,2015,,Nunc,,ART,,,,,,,,HAL,10
10.1515/9781399515498,Art and Technology in Maurice Blanchot,Holly Langstaff,,2023,,,Edinburgh University Press,edited-book,,False,,,https://doi.org/10.1515/9781399515498,0.0,,Crossref,10
10.1515/9781400825967.187,5. Maurice Blanchot: The Use and Abuse of Silence,,,2009,,The Seduction of Unreason,Princeton University Press,book-chapter,,False,,,https://doi.org/10.1515/9781400825967.187,0.0,,Crossref,10
10.1515/9781438474014-006,Chapter 3 Maurice Blanchot,,,2019,,The Little Crystalline Seed,SUNY Press,book-chapter,,False,,,https://doi.org/10.1515/9781438474014-006,0.0,,Crossref,10
10.1515/9781474497527-006,"4 The Unbearable Lightness of Being: Chiasmus, Embodiment, and Interpretation in Maurice Blanchot",,,2022,,Formal Matters,Edinburgh University Press,book-chapter,,False,,,https://doi.org/10.1515/9781474497527-006,0.0,,Crossref,10
10.14746/pspsl.2017.30.19,Eseiści kondycji żydowskiej – po Zagładzie: Maurice Blanchot i Bogdan Dawid Wojdowski,Katarzyna Kuczyńska-Koschany,,2017,,Poznańskie Studia Polonistyczne. Seria Literacka,Adam Mickiewicz University Poznan,journal-article,,False,,,https://doi.org/10.14746/pspsl.2017.30.19,1.0,,Crossref,10
10.11606/issn.1984-1124.v0ispep9-11,Diálogos entre Roland Barthes e Maurice Blanchot:  o grau zero da escrita em um livro por vir,Silvia Muramoto Hoshino,,2015,,Revista Criação &amp; Crítica,"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",journal-article,,False,,,https://doi.org/10.11606/issn.1984-1124.v0ispep9-11,0.0,,Crossref,10
10.11606/issn.2316-3976.v3i6p111-125,"""LE DERNIER MOT"", DE MAURICE BLANCHOT, OU A TORRE DE BABEL",Davi Andrade Pimentel,,2015,,Non Plus,"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",journal-article,,False,,,https://doi.org/10.11606/issn.2316-3976.v3i6p111-125,0.0,,Crossref,10
,Maurice Blanchot et son écriture,Ken Sumiyoshi,,2019,,,,THESE,,,,,,,,HAL,10
,Sur les Chroniques littéraires de Maurice Blanchot éditées par Christophe Bident,Takeshi Matsumura,,2022,,Glaliceur,,OTHER,,,,,,,,HAL,10
,"Maurice Blanchot, déserter le mythe",Claire Nioche-sibony,,2013,,Topique : La psychanalyse aujourd'hui [Revue freudienne],,ART,,,,,,,,HAL,10
,Écrire au nom de l'autre : à partir de Maurice Blanchot et Philippe Jaccottet,Thibault Comte,,2021,,,,THESE,,,,,,,,HAL,10
,Comment taire le commentaire : autour de Maurice Blanchot,Alain Milon,,2019,,,,COUV,,,,,,,,HAL,10
,Maurice Blanchot e a literatura em desastre,Christophe Bident | Paula Glenadel,,2020,,Gragoatá,,ISSUE,,,,,,,,HAL,10
,Les Figures de la mort et la création littéraire chez Maurice Blanchot,Tzu-Chun King,,2024,,,,THESE,,,,,,,,HAL,10
,Maurice Blanchot. La communauté d'expérience de l'écriture et du judaïsme,Jérôme de Gramont,,2021,,,,COUV,,,,,,,,HAL,10
,Le dérobement de la loi : littérature et liberté chez Maurice Blanchot,Amanda Olivares Valencia,,2024,,,,THESE,,,,,,,,HAL,10
10.1515/9780823281787-069,"books by maurice blanchot, with translations into english",,,2020,,Maurice Blanchot,Fordham University Press,book-chapter,,False,,,https://doi.org/10.1515/9780823281787-069,0.0,"{'is-identical-to': [{'id-type': 'doi', 'id': '10.2307/j.ctv8d5tnj.71', 'asserted-by': 'subject'}]}",Crossref,10
10.1080/00071773.1999.11008546,Maurice Blanchot and the Question of Literature,William Large,,1999,1999-01-01,Journal of the British Society for Phenomenology,,article,en,False,"Dans le cadre du trentieme anniversaire de la Societe anglaise de phenomenologie celebre les 11-13 avril 1997 a Oxford dans le cadre d'un colloque consacre au theme du renouveau de la phenomenologie, l'A. presente quelques resultats de sa lecture de Blanchot qui contribuent a la comprehension de la reponse que celui-ci apporte a la question de la litterature. Examinant le theme de la phenomenologie et de l'ontologie du langage, et brossant le portrait de Blanchot a travers les commentaires de Mallarme sur la poesie, l'A. montre que la phenomenologie de Blanchot est la description de la litterature comme experience du don du langage qui resiste a nos tentatives de substitution de la region du sens",Epistemology | Philosophy,https://openalex.org/W1989371123,1.0,,OpenAlex,10
,L’expérience surréaliste de Maurice Blanchot,Christophe Bident,,2022,,,,COUV,,,,,,,,HAL,10
10.1515/9780823254231-007,5. In Lieu of a Last Word: Maurice Blanchot and the Future of Memory (Today),,,2020,,Committing the Future to Memory,Fordham University Press,book-chapter,,False,,,https://doi.org/10.1515/9780823254231-007,0.0,"{'is-identical-to': [{'id-type': 'doi', 'id': '10.2307/j.ctt13x07vw.9', 'asserted-by': 'subject'}]}",Crossref,10
10.1515/9780748672554-023,Georges Bataille (1897-1962) and Maurice Blanchot (1907-),R. Brandon Kershner,,2022,,Edinburgh Encyclopaedia of Modern Criticism and Theory,Edinburgh University Press,book-chapter,,False,,,https://doi.org/10.1515/9780748672554-023,0.0,,Crossref,10
10.1515/9780748626793-023,22. Georges Bataille (1897-1962) and Maurice Blanchot (1907-),Arkady Plotnitsky,,2006,,Modern European Criticism and Theory,Edinburgh University Press,book-chapter,,False,,,https://doi.org/10.1515/9780748626793-023,0.0,,Crossref,10
10.1515/9780804782838-006,4. The Absent Author: Maurice Blanchot and the Subjection of Politics,,,2020,,The Aesthetics of Hate,Stanford University Press,book-chapter,,False,,,https://doi.org/10.1515/9780804782838-006,0.0,,Crossref,10
10.1515/9780791491102-003,Immemorial Silence: Maurice Blanchot,,,2001,,Immemorial Silence,SUNY Press,book-chapter,,False,,,https://doi.org/10.1515/9780791491102-003,0.0,"{'is-identical-to': [{'id-type': 'doi', 'id': '10.2307/jj.18253128.5', 'asserted-by': 'object'}]}",Crossref,10
10.1501/dtcfder_0000001288,Maurice Blanchot düsüncesi’nde sessizliği yazıya çekmek,CANAR Burcu,,2012,,Ankara Üniversitesi Dil ve Tarih-Coğrafya Fakültesi Dergisi,Ankara University -  Faculty of Language and History-Geography,journal-article,tr,False,,,https://doi.org/10.1501/dtcfder_0000001288,0.0,,Crossref,10
10.1515/9780691192109-011,5. Maurice Blanchot: The Use and Abuse of Silence,,,2019,,The Seduction of Unreason,Princeton University Press,book-chapter,,False,,,https://doi.org/10.1515/9780691192109-011,0.0,,Crossref,10
10.14375/np.9782385192372,La question juive de Maurice Blanchot,Gisèle Berkman,,2023,2023-02-17,Le Bord de l'eau eBooks,,book,fr,False,"La thèse de cet essai est que Blanchot vient à la littérature par la reconnaissance de l?étranger, et que la littérature devient progressivement, pour lui, synonyme de cette altérité fondatrice dont la judaïté constitue le site",Art | Philosophy,https://openalex.org/W4388875063,2.0,,OpenAlex,10
,L'Être et le neutre. A partir de Maurice Blanchot,Jérôme de Gramont,,2002,,Philosophie,,ART,,,,,,,,HAL,10
,"À plusieurs titres : compte-rendu du livre : Maurice Blanchot, Thomas le solitaire, éd. Leslie Hill et Philippe Lynes, Paris, Kimé, coll. « Corpus Blanchot », 2022, 282 p., EAN 9782380720716",Christophe Bident,,2023,,,,BLOG,,,,,,,,HAL,10
,Maurice Blanchot. « La littérature encore une fois »,Bident Christophe | Jonathan Degenève | Leslie Hill | Jérémie Majorel | Sylvain Santi | Parham Shahrjerdi | Daniel Wilhem,,2017,,,,OUV,,,,,,,,HAL,10
,Paroles d’attente – Les modalités du fragmentaire dans L’Attente l’oubli de Maurice Blanchot,Anna Balint,,2012,,Loxias,,ART,,,,,,,,HAL,10
,Désigner l'impensable : Simone Weil et Maurice Blanchot,Laurent Mattiussi,,2007,,,,COUV,,,,,,,,HAL,10
10.18352/relief.916,Maurice Blanchot: Avant-garde icon or obscure authoritarian? How thirty years of controversy have stifled debate,Adrian May,,2015,,RELIEF - Revue électronique de littérature française,Radboud University,journal-article,,False,,,https://doi.org/10.18352/relief.916,1.0,,Crossref,10
10.18778/2392-0718.10.07,"Je devenais une goutte d’eau, une tache d’encre. Sulla narrativa di Maurice Blanchot",Giuseppe Crivella,,2022,,e-Scripta Romanica,Uniwersytet Lodzki (University of Lodz),journal-article,,False,,,https://doi.org/10.18778/2392-0718.10.07,0.0,,Crossref,10
10.18824/ellf.104.07,Significations de l'angoisse dans les textes de Maurice Blanchot autour des romans L'Arrêt de mort et Le dernier homme,Ji-hyoung SEO,,2015,,Études de Langue et Littérature Françaises,The French Language and Literature Association of Korea,journal-article,,False,,,https://doi.org/10.18824/ellf.104.07,0.0,,Crossref,10
10.18824/ellf.116.01,"""‘L’indicible’ et ‘le recit’ - autour de L’Arre?t de mort de Maurice Blanchot""",Jaejung KOH,,2018,,Études de Langue et Littérature Françaises,The French Language and Literature Association of Korea,journal-article,,False,,,https://doi.org/10.18824/ellf.116.01,0.0,,Crossref,10
10.21825/deuilvanminerva.84695,TWEE RÉCITS VAN MAURICE BLANCHOT,Lieven De Maeyer,,2022,,De Uil van Minerva,Ghent University,journal-article,,False,,,https://doi.org/10.21825/deuilvanminerva.84695,0.0,,Crossref,10
10.19079/pr.5.47,"C. Bident, Maurice Blanchot",Tyler Correia,,2019,,Phenomenological Reviews,sdvig press,journal-article,,False,,,https://doi.org/10.19079/pr.5.47,0.0,,Crossref,10
10.21992/t9hs64,Translation and Response between Maurice Blanchot and Lydia Davis,Jonathan Evans,,2013,,TranscUlturAl: A Journal of Translation and Cultural Studies,University of Alberta Libraries,journal-article,,False,,,https://doi.org/10.21992/t9hs64,0.0,,Crossref,10
10.5860/choice.42-4532,The dark gaze: Maurice Blanchot and the sacred,,,2005,2005-04-01,Choice Reviews Online,,article,en,False,,Art | Gaze | Philosophy | Psychoanalysis | Psychology,https://openalex.org/W3016785125,86.0,,OpenAlex,10
10.7591/9781501731648-009,6. Maurice Blanchot: The Writing of Disaster,,,2019,,Generation Existential,Cornell University Press,book-chapter,,False,,,https://doi.org/10.7591/9781501731648-009,0.0,,Crossref,10
10.59236/ijea4n2,The Aestheticization of Research in the Thought of Maurice Blanchot,Gary Peters,,2003,,International Journal of Education and the Arts,Penn State University Libraries,journal-article,,False,,,https://doi.org/10.59236/ijea4n2,0.0,,Crossref,10
10.7312/ghos18738-011,11. The Intoxicated Conversation: Maurice Blanchot and the Poetics of Critical Masks,Daniel Rosenberg Nutters | Daniel T. O’Hara,,2018,,Philosophy and Poetry,Columbia University Press,book-chapter,,False,,,https://doi.org/10.7312/ghos18738-011,0.0,,Crossref,10
10.7591/9781501729607-006,5. The Radiant Suspensions of Julien Gracq and Maurice Blanchot,,,2019,,Is There Truth in Art?,Cornell University Press,book-chapter,,False,,,https://doi.org/10.7591/9781501729607-006,0.0,,Crossref,10
